
A/5 21171	7.25	S
PC 17599	71.2833	C
STON/O2. 3101282	7.925	S
113803	53.1	S
373450	8.05	S
330877	8.4583	Q
17463	51.8625	S
349909	21.075	S
347742	11.1333	S
237736	30.0708	Cge
SC/Paris 2123	41.5792	C
330958	7.8792	Q
S.C./A.4. 23567	8.05	S
370371	15.5	Q
14311	7.75	Q
2662	21.6792	C
349237	17.8	S
3101295	39.6875	S
A/4. 39886	7.8	S
PC 17572	76.7292	C
2926	26	S
113509	61.9792	C
19947	35.5	S
C.A. 31026	10.5	S
2697	7.2292	C
C.A. 34651	27.75	S
CA 2144	46.9	S
2669	7.2292	C
113572	80	
36973	83.475	S
347088	27.9	S
PC 17605	27.7208	C
2661	15.2458	C
C.A. 29395	10.5	S
S.P. 3464	8.1583	S
3101281	7.925	S
315151	8.6625	S
C.A. 33111	10.5	S
CA 2144	46.9	S
S.O.C. 14879	73.5	S
2680	14.4542	C
1601	56.4958	S
348123	7.65	S
349208	7.8958	S
374746	8.05	S
248738	29	S
364516	12.475	S
345767	9	S
345779	9.5	S
330932	7.7875	Q
113059	47.1	S
SO/C 14885	10.5	S
3101278	15.85	S
W./C. 6608	34.375	S
SOTON/OQ 392086	8.05	S
19950	263	S
343275	8.05	S
343276	8.05	S
347466	7.8542	S
W.E.P. 5734	61.175	S
C.A. 2315	20.575	S
364500	7.25	S
374910	8.05	S
PC 17754	34.6542	C
PC 17759	63.3583	C
231919	23	S
244367	26	S
349245	7.8958	S
349215	7.8958	S
35281	77.2875	S
7540	8.6542	S
3101276	7.925	S
349207	7.8958	S
343120	7.65	S
312991	7.775	S
349249	7.8958	S
371110	24.15	Q
110465	52	S
2665	14.4542	C
324669	8.05	S
4136	9.825	S
2627	14.4583	C
STON/O 2. 3101294	7.925	S
370369	7.75	Q
11668	21	S
PC 17558	247.5208	C
347082	31.275	S
S.O.C. 14879	73.5	S
A4. 54510	8.05	S
237736	30.0708	C
27267	13	S
35281	77.2875	S
2651	11.2417	C
370372	7.75	Q
C 17369	7.1417	S
2668	22.3583	C
347061	6.975	S
349241	7.8958	C
SOTON/O.Q. 3101307	7.05	S
A/5. 3337	14.5	S
228414	26	S
C.A. 29178	13	S
SC/PARIS 2133	15.0458	C
11752	26.2833	S
113803	53.1	S
7534	9.2167	S
PC 17593	79.2	C
2678	15.2458	C
347081	7.75	S
STON/O2. 3101279	15.85	S
365222	6.75	Q
231945	11.5	S
C.A. 33112	36.75	S
350043	7.7958	S
W./C. 6608	34.375	S
230080	26	S
244310	13	S
S.O.P. 1166	12.525	S
113776	66.6	S
A.5. 11206	8.05	S
A/5. 851	14.5	S
Fa 265302	7.3125	S
PC 17597	61.3792	C
35851	7.7333	Q
SOTON/OQ 392090	8.05	S
315037	8.6625	S
CA. 2343	69.55	S
371362	16.1	S
C.A. 33595	15.75	S
347068	7.775	S
315093	8.6625	S
3101295	39.6875	S
363291	20.525	S
113505	55	S
347088	27.9	S
PC 17318	25.925	S
1601	56.4958	S
111240	33.5	S
382652	29.125	Q
347742	11.1333	S
STON/O 2. 3101280	7.925	S
17764	30.6958	C
350404	7.8542	S
4133	25.4667	S
PC 17595	28.7125	C
250653	13	S
LINE	0	S
CA. 2343	69.55	S
SC/PARIS 2131	15.05	C
347077	31.3875	S
230136	39	S
315153	22.025	S
113767	50	S
370365	15.5	Q
111428	26.55	S
364849	15.5	Q
349247	7.8958	S
234604	13	S
28424	13	S
350046	7.8542	S
230080	26	S
PC 17610	27.7208	C
PC 17569	146.5208	C
368703	7.75	Q
4579	8.4042	S
370370	7.75	Q
248747	13	S
345770	9.5	S
CA. 2343	69.55	S
3101264	6.4958	S
2628	7.225	C
A/5 3540	8.05	S
347054	10.4625	S
3101278	15.85	S
2699	18.7875	C
367231	7.75	Q
112277	31	C
SOTON/O.Q. 3101311	7.05	S
F.C.C. 13528	21	S
A/5 21174	7.25	S
250646	13	S
367229	7.75	Q
35273	113.275	C
STON/O2. 3101283	7.925	S
243847	27	S
11813	76.2917	C
W/C 14208	10.5	S
SOTON/OQ 392089	8.05	S
220367	13	S
21440	8.05	S
349234	7.8958	S
19943	90	S
PP 4348	9.35	S
SW/PP 751	10.5	S
A/5 21173	7.25	S
236171	13	S
4133	25.4667	S
36973	83.475	S
347067	7.775	S
237442	13.5	S
347077	31.3875	S
C.A. 29566	10.5	S
W./C. 6609	7.55	S
26707	26	S
C.A. 31921	26.25	S
28665	10.5	S
SCO/W 1585	12.275	S
2665	14.4542	C
367230	15.5	Q
W./C. 14263	10.5	S
STON/O 2. 3101275	7.125	S
2694	7.225	C
19928	90	Q
347071	7.775	S
250649	14.5	S
11751	52.5542	S
244252	26	S
362316	7.25	S
347054	10.4625	S
113514	26.55	S
A/5. 3336	16.1	S
370129	20.2125	S
2650	15.2458	C
PC 17585	79.2	C
110152	86.5	S
PC 17755	512.3292	C
230433	26	S
384461	7.75	Q
347077	31.3875	S
110413	79.65	S
112059	0	S
382649	7.75	Q
C.A. 17248	10.5	S
3101295	39.6875	S
347083	7.775	S
PC 17582	153.4625	S
PC 17760	135.6333	S
113798	31	S
LINE	0	S
250644	19.5	S
PC 17596	29.7	C
370375	7.75	Q
13502	77.9583	S
347073	7.75	S
239853	0	S
382652	29.125	Q
C.A. 2673	20.25	S
336439	7.75	Q
347464	7.8542	S
345778	9.5	S
A/5. 10482	8.05	S
113056	26	S
349239	8.6625	C
345774	9.5	S
349206	7.8958	S
237798	13	S
370373	7.75	Q
19877	78.85	S
11967	91.0792	C
SC/Paris 2163	12.875	C
349236	8.85	S
349233	7.8958	S
PC 17612	27.7208	C
2693	7.2292	C
113781	151.55	S
19988	30.5	S
PC 17558	247.5208	C
9234	7.75	Q
367226	23.25	Q
LINE	0	S
226593	12.35	Q
A/5 2466	8.05	S
113781	151.55	S
17421	110.8833	C
PC 17758	108.9	C
P/PP 3381	24	C
PC 17485	56.9292	C
11767	83.1583	C
PC 17608	262.375	C
250651	26	S
349243	7.8958	S
F.C.C. 13529	26.25	S
347470	7.8542	S
244367	26	S
29011	14	S
36928	164.8667	S
16966	134.5	C
A/5 21172	7.25	S
349219	7.8958	S
234818	12.35	Q
248738	29	S
CA. 2343	69.55	S
PC 17760	135.6333	C
345364	6.2375	S
28551	13	S
363291	20.525	S
111361	57.9792	C
367226	23.25	Q
113043	28.5	S
PC 17582	153.4625	S
345764	18	S
PC 17611	133.65	S
349225	7.8958	S
113776	66.6	S
16966	134.5	C
7598	8.05	S
113784	35.5	S
230080	26	S
19950	263	S
248740	13	S
244361	13	S
229236	13	S
248733	13	S
31418	13	S
386525	16.1	S
C.A. 37671	15.9	S
315088	8.6625	S
7267	9.225	S
113510	35	S
2695	7.2292	C
349237	17.8	S
2647	7.225	C
345783	9.5	S
113505	55	S
237671	13	S
330931	7.8792	Q
330980	7.8792	Q
347088	27.9	S
SC/PARIS 2167	27.7208	C
2691	14.4542	C
SOTON/O.Q. 3101310	7.05	S
370365	15.5	Q
C 7076	7.25	S
110813	75.25	C
2626	7.2292	C
14313	7.75	Q
PC 17477	69.3	C
11765	55.4417	C
3101267	6.4958	S
323951	8.05	S
PC 17760	135.6333	C
349909	21.075	S
PC 17604	82.1708	C
C 7077	7.25	S
113503	211.5	C
2648	4.0125	C
347069	7.775	S
PC 17757	227.525	C
2653	15.7417	C
STON/O 2. 3101293	7.925	S
113789	52	S
349227	7.8958	S
S.O.C. 14879	73.5	S
CA 2144	46.9	S
27849	13	S
367655	7.7292	Q
SC 1748	12	C
113760	120	S
350034	7.7958	S
3101277	7.925	S
35273	113.275	C
PP 9549	16.7	S
350052	7.7958	S
350407	7.8542	S
28403	26	S
244278	10.5	S
240929	12.65	S
STON/O 2. 3101289	7.925	S
341826	8.05	S
